n,Trimloss,Fitness,runtime
20,3,3.8809,0.6201274394989014
20,10,5.6066666666666665,0.5229618549346924
20,3,4.880719999999998,0.5682845115661621
20,7,4.723920000000001,0.5439548492431641
20,1,3.9601,0.666222095489502
20,10,5.6066666666666665,0.6015560626983643
20,6,5.7623999999999995,0.5779404640197754
20,9,4.64648,0.5271644592285156
20,1,3.9601,0.6343820095062256
20,6,4.76288,0.5372903347015381
20,12,5.529599999999999,0.5407991409301758
20,5,4.802000000000001,0.5484254360198975
20,2,4.92032,0.5645699501037598
20,5,4.802000000000001,0.6514186859130859
20,9,5.645400000000001,0.6190063953399658
20,8,5.684266666666666,0.5953691005706787
20,0,5.0,0.6363856792449951
20,15,5.415,0.6637301445007324
20,4,5.841066666666666,0.5715482234954834
20,1,4.9600800000000005,0.6884968280792236
20,1,3.9601,0.6036837100982666
20,3,4.880719999999998,0.6441638469696045
20,3,3.8809,0.5092518329620361
20,4,5.841066666666666,0.5947701930999756
20,8,4.6851199999999995,0.5576794147491455
20,1,3.9601,0.6098623275756836
20,2,4.92032,0.5973525047302246
20,2,4.92032,0.5601663589477539
20,4,4.841279999999999,0.6156325340270996
20,1,5.960066666666667,0.5797755718231201
20,1,4.9600800000000005,0.532172679901123
20,1,4.9600800000000005,0.6361913681030273
20,14,5.453066666666666,0.6048886775970459
20,4,4.841279999999999,0.6414527893066406
20,2,4.92032,0.6025745868682861
20,5,4.802000000000001,0.5927016735076904
20,1,3.9601,0.6370697021484375
20,2,3.9204,0.5294644832611084
20,1,4.9600800000000005,0.5960500240325928
20,3,4.880719999999998,0.6072440147399902
20,4,4.841279999999999,0.5552096366882324
20,2,4.92032,0.5568687915802002
20,6,4.76288,0.6048288345336914
20,4,5.841066666666666,0.556494951248169
20,8,4.6851199999999995,0.6793208122253418
20,1,3.9601,0.5522105693817139
20,1,3.9601,0.7326748371124268
20,2,4.92032,0.5694606304168701
20,11,5.568066666666667,0.6260762214660645
20,6,4.76288,0.6705970764160156
