n,Trimloss,runtime
20,-219.0,2.300827741622925
20,-367.0,1.376906394958496
20,-219.0,2.045698404312134
20,-186.0,1.7859504222869873
20,-180.0,2.3290133476257324
20,-197.0,1.7392237186431885
20,-239.0,1.821394681930542
20,-163.0,2.3380794525146484
20,-379.0,1.5369887351989746
20,-240.0,1.949826717376709
20,-252.0,2.8843228816986084
20,-298.0,2.032052755355835
20,-214.0,2.331160068511963
20,-208.0,2.418351173400879
20,-251.0,2.1610374450683594
20,-243.0,1.8929917812347412
20,-201.0,1.9514272212982178
20,-218.0,2.0250918865203857
20,-231.0,2.5098512172698975
20,-230.0,2.261023998260498
20,-205.0,2.341033458709717
20,-165.0,1.7414741516113281
20,-192.0,1.7652583122253418
20,-124.0,2.0298011302948
20,-153.0,2.075390100479126
20,-179.0,1.7606744766235352
20,-163.0,1.8537840843200684
20,-218.0,2.2161107063293457
20,-226.0,2.1667327880859375
20,-247.0,2.6640312671661377
20,-177.0,2.959304094314575
20,-213.0,1.7990355491638184
20,-206.0,2.3859331607818604
20,-101.0,2.314239740371704
20,-220.0,2.135774612426758
20,-209.0,2.3869972229003906
20,-247.0,1.9001049995422363
20,-211.0,2.17305850982666
20,-194.0,2.054642677307129
20,-169.0,1.932464599609375
20,-138.0,1.4374098777770996
20,-249.0,1.4757084846496582
20,-235.0,1.7891533374786377
20,-114.0,1.8349411487579346
20,-230.0,2.5344090461730957
20,-143.0,1.4979157447814941
20,-248.0,1.4497854709625244
20,-114.0,1.83079195022583
20,-202.0,2.15571665763855
20,-240.0,2.1714420318603516
